Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,1. Nivel socioeconómico al que usted pertenece,2. Situación laboral actual - Selected Choice,2. Situación laboral actual - Otro - Texto,3. Ocupación para la que está capacitada,4. Ubicación geográfica - Selected Choice,4. Ubicación geográfica - Otra ciudad - Texto,5. ¿Qué porcentaje máximo de los ingresos mensuales familiares puede pagar a sus trabajadoras del  hogar?,6. Nivel de escolaridad,7. Identidad sexual con la que usted se reconoce​,8. Edad,"9. ¿Platica con sus vecinos, familiares o amigos sobre las condiciones laborales de sus trabajadoras del hogar (salarios, horarios, tareas, desempeño, etc.)?",10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Selected Choice,10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Otra - Texto,11. ¿Quién define el salario y la contratación de las trabajadoras del hogar?,12. El salario que usted ofrece se encuentra:,13. ¿Cómo considera al salario que ofrece? (puede elegir una o más opciones),14. ¿Qué criterios considera más importantes para establecer que su empleada tiene un buen desempeño laboral? (puede elegir una o más opciones),15. Motivos por los que alguna vez ha tenido que despedir a  alguna empleada (puede elegir una o más opciones),16. ¿En qué condiciones considera pertinente ajustar los salarios?​ (puede elegir una o más opciones),17. ¿Qué tipo de decisiones toma la empleada al momento de establecer la relación laboral? (puede elegir una o más opciones),18. ¿Qué tan seguido realiza ajustes a los salarios? (puede elegir una o más opciones),19. ¿Qué suele hacer para conseguir a sus trabajadoras del hogar? (puede elegir una o más opciones),20. ¿Qué criterios son los más importantes al momento de contratar a una empleada? (puede elegir una o más opciones),21. ¿A qué tipo de recomendaciones le da más importancia? (puede elegir una o más opciones),22. ¿Qué tipo de empleo le ofrece a sus trabajadoras del hogar?,23. ¿Cuántas trabajadoras del hogar suele tener en casa al mismo tiempo? ​,24. ¿Ofrece algún tipo de prestación laboral? (puede elegir una o más opciones),25. ¿Considera usted que las prestaciones del IMSS (servicios médicos y pensión laboral) son convenientes para sus trabajadoras del hogar? (puede elegir una o más opciones),26. ¿Bajo qué condiciones estaría dispuesta a registrar a su empleada en el IMSS? (puede elegir una o más opciones)
13/04/2023 21:13,13/04/2023 21:23,IP Address,201.172.238.141,100,564,True,13/04/2023 21:23,R_Wv8JKion0spQqxH,,,,,25.6554,-100.3258,anonymous,ES,Clase alta,Administra un negocio con empleados,,"Funcionario, director o jefe",Otra ciudad,,Entre el 1 y el 3 %,Posgrado,Hombre,Entre 51 y 60,Nunca tocamos ese tema,Otra,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,"Un pago digno que le permite a la empleada vivir con decoro,Vinculado  a su antigüedad","Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Hace más de lo que se le pide,Es respetuosa,Es discreta,Realiza tareas diversas (cocina, plancha, etc.)",Nunca ha ocurrido,Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Su edad,Recomendaciones de conocidos,Personalidad y apariencia",Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Dos,"Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes","No, porque no brindan un buen servicio",Si me obligan por ley
13/04/2023 21:13,13/04/2023 21:21,IP Address,177.247.69.243,100,433,True,13/04/2023 21:21,R_1NDlANPldFPtTIC,,,,,19.1835,-96.1477,anonymous,ES,Clase media-alta,Quehaceres del hogar,,Profesionista o técnico especializado,Ciudad de Monterrey o área conurbada,,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 41 y 50 años,Nunca tocamos ese tema,Salarios que pagan los vecinos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Hace más de lo que se le pide",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido,Me apoyo en una agencia de empleo","Tareas que puede realizar,Personalidad y apariencia,Experiencia laboral",Ninguna,De planta (pernocta en el hogar) (mas de 48 horas),Dos,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Apoyos educativos","No, porque no brindan un buen servicio",Si los trámites son sencillos
13/04/2023 21:13,13/04/2023 21:23,IP Address,189.183.31.183,100,571,True,13/04/2023 21:23,R_1cSTp1BFY5uIpMu,,,,,19.0436,-98.1981,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,Salarios que pagan los vecinos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Realiza en tiempo y forma las tareas asignadas",Por incompetencia,Cuando no logra encontrar a la empleada de su conveniencia,Negocia con usted el salario a recibir,Cuando contrata a una nueva empleada,"Le pregunto a vecinos, amigos o familiares","Su edad,Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia",Recomendaciones de mis amigos y familiares,Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Aguinaldo","No, porque no me alcanza para pagarlo","A cambio de reducir su salario,Si me obligan por ley,Si no tuviera que pagar la cuota patronal correspondiente,Si no tuviera que pagar liquidaciones laborales,Si la empleada fuera de tiempo completo"
13/04/2023 21:19,13/04/2023 21:32,IP Address,173.173.145.221,100,801,True,13/04/2023 21:32,R_10wlo3LGW33iixF,,,,,25.9356,-97.5209,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,"Funcionario, director o jefe",Otra ciudad,Matamoros ,Entre el 5.1 y el 7%,Licenciatura,Hombre,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Inflación observada en los últimos meses,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,Es confiable,Por desconfianza,"Cuando me entero que hay una modificación en los salarios mínimos,Cuando me percato que existen una gran disponibilidad de trabajadoras",Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones verbales de ex-empleadas",De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,Transporte,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes","No, porque no brindan un buen servicio",Si no tuviera que pagar la cuota patronal correspondiente
13/04/2023 21:19,13/04/2023 22:25,IP Address,189.223.147.231,100,3933,True,13/04/2023 22:25,R_2cwKr5X5jCbSFI0,,,,,32.5161,-116.9824,anonymous,ES,Clase media-baja,Jubilado o Pensionado,,Profesionista o técnico especializado,Otra ciudad,Tijuana Baja California ,Entre el 3.1 y el 5%,Preparatoria,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Otra,"Por el trabajo , las hora …!!!",Ambos,No lo sabe,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa,Es discreta",Por una caída en los ingresos del hogar,Cuando me percato que existen una gran disponibilidad de trabajadoras,"Ella establece los días, horas y el horario",De forma irregular,Me buscan y ofrecen sus servicios,"Recomendaciones de conocidos,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones verbales de ex-empleadas,Recomendaciones de vecinos​",No más de dos días a la semana (menos de 15 horas),Una sola,"Transporte,Aguinaldo","No, porque no me alcanza para pagarlo,Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si la empleada fuera de tiempo completo"
13/04/2023 21:19,13/04/2023 21:28,IP Address,200.68.140.18,100,513,True,13/04/2023 21:28,R_3MznZmHGsvwT2wN,,,,,19.4326,-99.1332,anonymous,ES,Clase media-baja,Administra un negocio con empleados,,"Funcionario, director o jefe",Ciudad de Monterrey o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Hombre,Entre 51 y 60,Tanto con familiares como  con vecinos,Ingresos de los miembros del hogar,,Su pareja,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Realiza tareas diversas (cocina, plancha, etc.)",Por incompetencia,Cuando considero que los salarios se han estancado en relación con la inflación  observada,"Ella establece los días, horas y el horario",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Tareas que puede realizar,Recomendaciones de mis amigos y familiares,Combina esquemas,Una sola,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales,Apoyos educativos","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si no tuviera que pagar liquidaciones laborales"
13/04/2023 21:20,13/04/2023 21:27,IP Address,173.173.148.84,100,424,True,13/04/2023 21:27,R_tG7PPvqt3SlzM8p,,,,,25.9356,-97.5209,anonymous,ES,Clase alta,Administra un negocio con empleados,,"Funcionario, director o jefe",Otra ciudad,,Entre el 3.1 y el 5%,Licenciatura,Hombre,Entre 51 y 60,Nunca tocamos ese tema,Salarios que pagan los vecinos,,Su pareja,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Por desconfianza,Cuando no logra encontrar a la empleada de su conveniencia,Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales","No, porque no brindan un buen servicio",Si los trámites son sencillos
13/04/2023 21:23,13/04/2023 21:31,IP Address,189.203.12.52,100,460,True,13/04/2023 21:31,R_3s1gz4Xh4QZDkxw,,,,,19.4326,-99.1332,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 3.1 y el 5%,Preparatoria,Mujer,Entre 31 y 40 años,Nunca tocamos ese tema,Salarios que pagan los vecinos,,Algún familiar o amigo,No lo sabe,Justo en tanto que es lo que usted puede pagar,Es confiable,Por un pérdida de empleo entre los miembros del hogar,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Negocia con usted el salario a recibir,Cuando contrata a una nueva empleada,"Le pregunto a vecinos, amigos o familiares",Tareas que puede realizar,Recomendaciones de vecinos​,Entre 3 y 4 días a la semana (15- 34 horas),Una sola,Ninguna,"Si, porque cobija a mis empleadas",Si la empleada fuera de tiempo completo
13/04/2023 21:28,13/04/2023 21:40,IP Address,200.68.165.31,100,694,True,13/04/2023 21:40,R_2wc1S2E2VVZknwC,,,,,25.6554,-100.3258,anonymous,ES,Clase media-alta,Quehaceres del hogar,,Profesionista o técnico especializado,Ciudad de Monterrey o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Mujer,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Usted,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,"Realiza tareas diversas (cocina, plancha, etc.)",Por incompetencia,"Cuando me entero que hay una modificación en los salarios mínimos,Cuando considero que los salarios se han estancado en relación con la inflación  observada",Acepta o rechaza la propuesta de trabajo que usted le hace,Cada cierto número de meses,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar",Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo","No, porque no me alcanza para pagarlo",Si lleva trabajando varios años con usted
13/04/2023 22:04,13/04/2023 22:15,IP Address,187.189.33.219,100,658,True,13/04/2023 22:15,R_1nSBzJqc8YT6Bub,,,,,19.6132,-99.0545,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,"Comerciante, empleado en venta o agente de venta",Ciudad de Puebla o área conurbada,,Entre el 1 y el 3 %,Preparatoria,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Usted,No lo sabe,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa,Es discreta","Por una caída en los ingresos del hogar,Por desconfianza,Por incompetencia",Cuando me entero que hay una modificación en los salarios mínimos,"Acepta o rechaza la propuesta de trabajo que usted le hace,Negocia con usted el salario a recibir",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido","Su edad,Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​",No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo,Préstamos personales","No, porque no me alcanza para pagarlo,Si, porque cobija a mis empleadas,No, porque incentiva demandas laborales injustificadas","Si los trámites son sencillos,Sin condicionamiento alguno,Si lleva trabajando varios años con usted,Si no tuviera que pagar liquidaciones laborales"
13/04/2023 22:08,13/04/2023 22:15,IP Address,189.193.79.246,100,448,True,13/04/2023 22:15,R_1gRVV1XYyE5Weoe,,,,,20.6288,-100.4828,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Hombre,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Su pareja,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Es dedicada","Por desconfianza,Por incompetencia",Cuando los salarios que pagan los vecinos se incrementan o se reducen,"Acepta o rechaza la propuesta de trabajo que usted le hace,Negocia con usted el salario a recibir,Ella establece los días, horas y el horario",Cuando contrata a una nueva empleada,"Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido,Me buscan y ofrecen sus servicios","Recomendaciones de conocidos,Tareas que puede realizar","Recomendaciones de mis amigos y familiares,Recomendaciones verbales de ex-empleadas,Recomendaciones verbales de familiares de la empleada,Recomendaciones de vecinos​",Entre 3 y 4 días a la semana (15- 34 horas),Una sola,Aguinaldo,"No, porque no me alcanza para pagarlo,No, porque incentiva demandas laborales injustificadas","Sin condicionamiento alguno,Si lleva trabajando varios años con usted,Si no tuviera que pagar la cuota patronal correspondiente,Si no tuviera que pagar liquidaciones laborales,Si la empleada fuera de tiempo completo"
13/04/2023 22:19,13/04/2023 22:31,IP Address,187.250.234.51,100,717,True,13/04/2023 22:31,R_xl5Ofryx0Wc8r5v,,,,,32.5161,-116.9824,anonymous,ES,Clase media-baja,Desempleado,,Profesionista o técnico especializado,Otra ciudad,,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Ingresos de los miembros del hogar,,Usted,No lo sabe,Justo en tanto que es lo que usted puede pagar,Es confiable,"Por una caída en los ingresos del hogar,Por un pérdida de empleo entre los miembros del hogar","Cuando me entero que hay una modificación en los salarios mínimos,Cuando considero que los salarios se han estancado en relación con la inflación  observada",Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Vacaciones con goce de sueldo,Atención médica en caso de accidentes","Si, porque cobija a mis empleadas","Sin condicionamiento alguno,Si lleva trabajando varios años con usted,Si me obligan por ley"
13/04/2023 22:26,13/04/2023 22:29,IP Address,187.191.49.202,100,189,True,13/04/2023 22:29,R_3mgArrJYLgvSpEr,,,,,32.509,-116.8726,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 3.1 y el 5%,Posgrado,Mujer,Entre 31 y 40 años,"Si, pero solo cuando se trata de familiares o amigos","Salarios que pagan los vecinos,Salarios que pagan los familiares o amigos",,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Realiza tareas diversas (cocina, plancha, etc.)",Por desconfianza,Cuando no logra encontrar a la empleada de su conveniencia,Negocia con usted el salario a recibir,De forma irregular,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Experiencia laboral",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Aguinaldo,Préstamos personales","Si, porque cobija a mis empleadas",Si los trámites son sencillos
13/04/2023 22:47,13/04/2023 23:09,IP Address,200.68.186.5,100,1316,True,13/04/2023 23:09,R_38BvnxqEjpB3vln,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 7.1 y el 9%,Posgrado,Mujer,Más de 61 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Usted,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa,Es discreta",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales,Apoyos educativos","No, porque no me alcanza para pagarlo","Si los trámites son sencillos,Si no tuviera que pagar liquidaciones laborales,Si la empleada fuera de tiempo completo"
13/04/2023 22:55,13/04/2023 23:03,IP Address,189.190.147.170,100,515,True,13/04/2023 23:03,R_2dKOmNcJxhkOEPn,,,,,19.0359,-98.2279,anonymous,ES,Clase media-alta,Otro,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 1 y el 3 %,Posgrado,Mujer,Más de 61 años,Tanto con familiares como  con vecinos,Salarios que pagan los familiares o amigos,,Usted,Por debajo del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa",Por una caída en los ingresos del hogar,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido","Recomendaciones de conocidos,Personalidad y apariencia",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,Transporte,"No, porque no me alcanza para pagarlo",Si la empleada fuera de tiempo completo
13/04/2023 23:23,13/04/2023 23:30,IP Address,189.152.240.149,100,383,True,13/04/2023 23:30,R_1EYRJ74Kr2ML1XQ,,,,,25.6554,-100.3258,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de Monterrey o área conurbada,,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,"Salarios que pagan los vecinos,Salarios que pagan los familiares o amigos,Salario mínimo",,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Hace más de lo que se le pide,Es respetuosa,Es discreta,Realiza tareas diversas (cocina, plancha, etc.)","Por una caída en los ingresos del hogar,Por desconfianza",Cuando no logra encontrar a la empleada de su conveniencia,"Acepta o rechaza la propuesta de trabajo que usted le hace,Negocia con usted el salario a recibir",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares,Me apoyo en una agencia de empleo","Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia","Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​",De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,Transporte,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales,Apoyos educativos","No, porque no me alcanza para pagarlo","Si lleva trabajando varios años con usted,Si la empleada fuera de tiempo completo"
13/04/2023 23:49,13/04/2023 23:54,IP Address,177.226.237.20,100,329,True,13/04/2023 23:54,R_31h3xz1zO8wuiFY,,,,,18.4613,-97.445,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 5.1 y el 7%,Licenciatura,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Ingresos de los miembros del hogar,,Usted,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Hace más de lo que se le pide",Por desconfianza,"Cuando considero que los salarios se han estancado en relación con la inflación  observada,Cuando no logra encontrar a la empleada de su conveniencia",Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Su edad,Recomendaciones de conocidos,Tareas que puede realizar","Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​",No más de dos días a la semana (menos de 15 horas),Una sola,Ninguna,"Si, porque cobija a mis empleadas",Si me obligan por ley
14/04/2023 02:00,14/04/2023 02:07,IP Address,81.61.16.17,100,469,True,14/04/2023 02:07,R_2Bsyt1wOdkjFD1g,,,,,40.4163,-3.6934,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Posgrado,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,Inflación observada en los últimos meses,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa,Es discreta,Realiza tareas diversas (cocina, plancha, etc.)","Por una caída en los ingresos del hogar,Por desconfianza,Por incompetencia","Cuando me entero que hay una modificación en los salarios mínimos,Cuando considero que los salarios se han estancado en relación con la inflación  observada",Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido","Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia,Experiencia laboral",Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,IMSS,Aguinaldo,Atención médica en caso de accidentes,Préstamos personales","No, porque no brindan un buen servicio,Si, porque cobija a mis empleadas","Sin condicionamiento alguno,Si lleva trabajando varios años con usted,Ya la registré o ya está inscrita por el empleador de su cónyuge"
14/04/2023 06:42,14/04/2023 06:48,IP Address,189.156.250.255,100,393,True,14/04/2023 06:48,R_2w1gtxOHKNbKTnl,,,,,19.0287,-98.2043,anonymous,ES,Clase media-alta,Empleado,,"Funcionario, director o jefe",Ciudad de Puebla o área conurbada,,Entre el 5.1 y el 7%,Posgrado,Mujer,Entre 18 y 30 años,Nunca tocamos ese tema,Salario mínimo,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas",Nunca ha ocurrido,Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Ninguna,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Dos,"Una o más comidas al día,IMSS,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Apoyos educativos","Si, porque cobija a mis empleadas",Ya la registré o ya está inscrita por el empleador de su cónyuge
14/04/2023 06:45,14/04/2023 07:00,IP Address,189.161.40.105,100,883,True,14/04/2023 07:00,R_2xPIzkpOPfgLdnP,,,,,19.0287,-98.2043,anonymous,ES,Clase media-alta,Jubilado o Pensionado,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 3.1 y el 5%,Posgrado,Mujer,Más de 61 años,"Si, pero solo cuando se trata de familiares o amigos",Ingresos de los miembros del hogar,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Es respetuosa,Es discreta","Por desconfianza,Por incompetencia","Cuando me entero que hay una modificación en los salarios mínimos,Cuando considero que los salarios se han estancado en relación con la inflación  observada",Acepta o rechaza la propuesta de trabajo que usted le hace,"Al inicio de cada año,Cada cierto número de meses","Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido","Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones verbales de familiares de la empleada","Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Apoyos educativos","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si lleva trabajando varios años con usted,A cambio de reducir prestaciones que usted ya ofrece"
14/04/2023 07:02,14/04/2023 07:09,IP Address,189.190.249.100,100,421,True,14/04/2023 07:09,R_2xLXJDeCmm3IUbl,,,,,19.0436,-98.1981,anonymous,ES,Clase media-alta,Administra un negocio con empleados,,"Funcionario, director o jefe",Ciudad de Puebla o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Mujer,Entre 41 y 50 años,Tanto con familiares como  con vecinos,Inflación observada en los últimos meses,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,Le pregunto a trabajadores conocido,Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"IMSS,Aguinaldo,Vacaciones con goce de sueldo","Si, porque cobija a mis empleadas",Ya la registré o ya está inscrita por el empleador de su cónyuge
14/04/2023 07:29,14/04/2023 07:35,IP Address,177.241.114.29,100,401,True,14/04/2023 07:35,R_1nO29hIUyXHnUfp,,,,,19.1264,-98.2303,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Hombre,Entre 18 y 30 años,Nunca tocamos ese tema,Salarios que pagan los familiares o amigos,,Algún familiar o amigo,Por encima del salario mínimo equivalente a las horas trabajadas,"Un pago digno que le permite a la empleada vivir con decoro,Vinculado  a su antigüedad","Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa,Es discreta,Realiza tareas diversas (cocina, plancha, etc.)",Por desconfianza,Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares,Me apoyo en una agencia de empleo","Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia,Experiencia laboral",Recomendaciones de mis amigos y familiares,Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales,Apoyos educativos","Si, porque cobija a mis empleadas",Sin condicionamiento alguno
